#SubId SubXCoord SubYCoord BrokerId BrokerXCoord BrokerYCoord Region Distance
0 353.2853148098224 34.58766438757658 0 324.00969507385855 7.621990702052214 Asia 39.80212894103703
1 335.23545861295963 101.91118257608996 1 269.1079157581027 146.8176615186722 US 79.93399636601139
2 268.02385541548705 144.2413447819891 1 269.1079157581027 146.8176615186722 US 2.795101921960154
3 252.26042731557135 34.2841289871784 0 324.00969507385855 7.621990702052214 Asia 76.5429751302207
4 158.62773708945244 239.61302453465217 2 154.57441120657825 275.6003114277621 Europe 36.214834924927935
5 253.2373032226803 151.73281761435518 1 269.1079157581027 146.8176615186722 US 16.614304129106223
6 230.78891686139104 206.53971655995142 1 269.1079157581027 146.8176615186722 US 70.95822387010384
7 261.0710492372366 276.6027174565141 2 154.57441120657825 275.6003114277621 Europe 106.50135552977504
8 269.5601378518602 146.54362842048084 1 269.1079157581027 146.8176615186722 US 0.5287711801779241
9 160.59966772990987 259.5803922498169 2 154.57441120657825 275.6003114277621 Europe 17.11553465831106
10 324.2763010865912 93.72714356445235 1 269.1079157581027 146.8176615186722 US 76.56470359375739
11 264.00515746195583 149.50799479386953 1 269.1079157581027 146.8176615186722 US 5.768538407649702
12 283.9196231928111 -32.054428026910905 0 324.00969507385855 7.621990702052214 Asia 56.40418483218746
13 450.0233398255149 -13.290858267795388 0 324.00969507385855 7.621990702052214 Asia 127.73717515129375
14 189.92162583457832 235.55767636660835 2 154.57441120657825 275.6003114277621 Europe 53.411966866973195
15 190.39518786901792 258.0186561755922 2 154.57441120657825 275.6003114277621 Europe 39.902915208121534
16 426.75878455722494 57.66156232692816 0 324.00969507385855 7.621990702052214 Asia 114.28619390837164
17 317.3900934799778 138.55261176905648 1 269.1079157581027 146.8176615186722 US 48.98448461431797
18 326.1350862793884 7.147214569365631 0 324.00969507385855 7.621990702052214 Asia 2.177774128029012
19 318.9240653560179 137.70078622559055 1 269.1079157581027 146.8176615186722 US 50.643520571455795
20 269.0336803559614 146.585783130304 1 269.1079157581027 146.8176615186722 US 0.24347172715391469
21 303.8792399781813 -20.16023310910873 0 324.00969507385855 7.621990702052214 Asia 34.30870417623662
22 403.2466814624226 53.30529006418668 0 324.00969507385855 7.621990702052214 Asia 91.46290970962971
23 331.7824646009717 104.44467896965702 1 269.1079157581027 146.8176615186722 US 75.65427101463814
24 315.1088376020691 13.424172693073437 0 324.00969507385855 7.621990702052214 Asia 10.62499786306053
25 185.7476505262508 254.4060274280897 2 154.57441120657825 275.6003114277621 Europe 37.695736150662306
26 207.29737382248254 229.75683574131722 2 154.57441120657825 275.6003114277621 Europe 69.86655172549813
27 219.65541036165473 222.77843833441977 2 154.57441120657825 275.6003114277621 Europe 83.81936964754763
28 159.37825184891062 292.2036310016402 2 154.57441120657825 275.6003114277621 Europe 17.284302293967418
29 326.39700242762984 5.859100156753826 0 324.00969507385855 7.621990702052214 Asia 2.9676622914464064
30 155.02301356871016 275.3724852385678 2 154.57441120657825 275.6003114277621 Europe 0.5031389984816708
31 251.74268373599574 33.87925978206301 0 324.00969507385855 7.621990702052214 Asia 76.8893042447835
32 317.25025247496035 140.89036727553298 1 269.1079157581027 146.8176615186722 US 48.505849148366124
33 331.3122959310413 104.1322124808688 1 269.1079157581027 146.8176615186722 US 75.44158317704095
34 221.58617438703453 266.7857670759901 2 154.57441120657825 275.6003114277621 Europe 67.58899760081452
35 185.20198091593545 254.3498977860985 2 154.57441120657825 275.6003114277621 Europe 37.27771594724304
36 308.35202661918714 118.78417480810377 1 269.1079157581027 146.8176615186722 US 48.22837976159578
37 324.3467789403179 5.485861278978428 0 324.00969507385855 7.621990702052214 Asia 2.1625620095499536
38 512.511198683714 191.1196579564843 1 269.1079157581027 146.8176615186722 US 247.40215243069557
39 426.37462036424677 57.46448064170618 0 324.00969507385855 7.621990702052214 Asia 113.85452003803479
40 193.32238445640343 304.0953864850639 2 154.57441120657825 275.6003114277621 Europe 48.09755434001224
41 217.76981419651906 255.309227538218 2 154.57441120657825 275.6003114277621 Europe 66.37308976139002
42 269.42069353800474 146.4288771972042 1 269.1079157581027 146.8176615186722 US 0.4989821522056424
43 258.1192362099522 156.05502948335192 1 269.1079157581027 146.8176615186722 US 14.355488327703538
44 337.36421483921845 -4.039735916181618 0 324.00969507385855 7.621990702052214 Asia 17.729609862651
45 185.69566180480544 267.3797317436232 2 154.57441120657825 275.6003114277621 Europe 32.18866522769985
46 186.00099334816528 267.2306510015304 2 154.57441120657825 275.6003114277621 Europe 32.52201224943416
47 394.4617924776694 55.04870842323987 0 324.00969507385855 7.621990702052214 Asia 84.92815541621793
48 245.64306323619482 174.05928526990513 1 269.1079157581027 146.8176615186722 US 35.954212110385974
49 236.24471271207443 309.4124759815001 2 154.57441120657825 275.6003114277621 Europe 88.39287652185389
